RecordID,Date,City,State,Season,Temperature_C,Humidity_%,WindSpeed_kmph,Precipitation_mm,AirPressure_hPa,WeatherCondition
1,07/02/2022,Kolkata,West Bengal,Monsoon,26.4,42,12.1,2.02,1000.2,Storm
2,28/06/2022,Mumbai,Maharashtra,Monsoon,26.6,55,7.2,8.42,1016,Rain
3,03/02/2023,Mumbai,Maharashtra,Monsoon,25.4,76,15.1,11.2,1022.4,Rain
4,28/03/2022,Jaipur,Rajasthan,Monsoon,31.4,36,30.3,7.07,1002.3,Rain
5,30/12/2023,Mumbai,Maharashtra,Winter,20.7,92,6.9,0.34,1009.4,Rain
6,13/02/2022,Ahmedabad,Gujarat,Monsoon,30.7,80,1.2,3.91,1013.5,Haze
7,06/03/2022,Jaipur,Rajasthan,Monsoon,25.4,58,7.8,0.3,1016.7,Fog
8,23/01/2022,Lucknow,Uttar Pradesh,Monsoon,27.2,58,4.2,2.98,1013.7,Cloudy
9,10/11/2022,Delhi,Delhi,Monsoon,24.8,69,10.5,3.51,1014.6,Cloudy
10,29/03/2022,Delhi,Delhi,Winter,12.4,45,9.1,0.26,1011.6,Haze
11,01/06/2022,Kolkata,West Bengal,Autumn,31.1,38,18.9,1.45,1004.8,Fog
12,14/02/2024,Delhi,Delhi,Winter,19,47,1,2.15,1024.7,Sunny
13,19/03/2022,Bangalore,Karnataka,Autumn,24.8,42,22.8,0.45,1018.8,Cloudy
14,24/05/2023,Bangalore,Karnataka,Summer,37.4,58,24.2,1.04,1016.5,Storm
15,02/06/2022,Pune,Maharashtra,Winter,11.5,47,26.3,2.13,1004.1,Sunny
16,02/06/2022,Jaipur,Rajasthan,Monsoon,31.4,79,27.5,0.26,1020.6,Fog
17,26/11/2023,Bangalore,Karnataka,Autumn,20.6,41,26.7,1.48,1020.8,Sunny
18,21/07/2023,Ahmedabad,Gujarat,Winter,19.6,72,24.8,0.64,995.8,Rain
19,25/11/2023,Bangalore,Karnataka,Monsoon,27.8,91,24.2,23.69,1010.1,Sunny
20,21/05/2023,Lucknow,Uttar Pradesh,Autumn,31,48,24.4,0.07,1008.7,Fog
21,19/12/2023,Bangalore,Karnataka,Autumn,21.6,94,24.9,0.13,1010.3,Cloudy
22,22/11/2022,Chennai,Tamil Nadu,Autumn,23.4,75,8.6,1.97,1008.4,Rain
23,31/10/2022,Lucknow,Uttar Pradesh,Winter,13.3,80,20.5,3.49,1004.6,Rain
24,30/10/2022,Chennai,Tamil Nadu,Autumn,29.4,70,8.2,1.65,1006.6,Fog
25,14/04/2023,Ahmedabad,Gujarat,Monsoon,32.6,63,15,1.8,1006.9,Storm
26,11/08/2022,Bangalore,Karnataka,Winter,16.8,85,1.3,1.06,1007.6,Storm
27,31/07/2022,Ahmedabad,Gujarat,Monsoon,23.9,49,5.3,0.71,1012.2,Cloudy
28,24/08/2022,Bangalore,Karnataka,Summer,35.7,82,25.9,0.35,1010.5,Haze
29,11/04/2022,Pune,Maharashtra,Winter,23.6,59,26.6,1.05,1012.9,Haze
30,19/11/2023,Pune,Maharashtra,Winter,30.3,84,15.9,0.76,1007.8,Cloudy
31,08/12/2023,Lucknow,Uttar Pradesh,Summer,26.6,39,7.5,2.48,1018.7,Sunny
32,26/05/2022,Kolkata,West Bengal,Autumn,25.4,57,7.4,0.08,1009.2,Sunny
33,23/11/2022,Delhi,Delhi,Monsoon,30.4,89,32.6,3.44,1005.6,Fog
34,03/10/2022,Hyderabad,Telangana,Winter,17.2,82,25.5,0.74,1012,Storm
35,28/09/2022,Kolkata,West Bengal,Summer,36.1,49,19.5,2.47,1011,Storm
36,26/12/2023,Bangalore,Karnataka,Autumn,25.4,81,21.2,0.8,1013,Cloudy
37,21/04/2023,Delhi,Delhi,Summer,32,94,33.7,0.19,1018.1,Fog
38,28/02/2023,Delhi,Delhi,Summer,34.9,73,0.8,2.96,1006.5,Storm
39,09/01/2024,Bangalore,Karnataka,Summer,32.6,40,11.6,0.14,995.6,Storm
40,13/02/2022,Delhi,Delhi,Monsoon,22.6,67,20.4,8.44,1012,Storm
41,06/03/2022,Bangalore,Karnataka,Monsoon,22.3,54,10,2.7,1004,Haze
42,21/02/2024,Pune,Maharashtra,Summer,35.1,93,15.2,1.65,1009.2,Sunny
43,20/07/2023,Delhi,Delhi,Winter,21.4,80,6.4,1.55,1006,Rain
44,30/04/2024,Kolkata,West Bengal,Autumn,25.6,77,0,3.76,1006.1,Fog
45,04/12/2022,Bangalore,Karnataka,Autumn,25.1,80,29,0.85,1008.7,Haze
46,25/06/2023,Chennai,Tamil Nadu,Autumn,30,92,26.3,1.95,1003,Rain
47,14/08/2022,Lucknow,Uttar Pradesh,Autumn,26.5,75,11.3,1.11,1010.9,Haze
48,24/12/2022,Ahmedabad,Gujarat,Summer,28.9,46,14.1,0.38,1005.2,Sunny
49,25/07/2023,Kolkata,West Bengal,Winter,20.1,76,24,0.32,1009.6,Storm
50,03/06/2023,Bangalore,Karnataka,Autumn,24.9,73,29.9,0.75,1010.1,Storm
51,31/03/2023,Chennai,Tamil Nadu,Summer,33.7,65,19.9,0.63,1005.9,Fog
52,15/04/2023,Kolkata,West Bengal,Summer,39,94,8.3,0.05,1014.4,Fog
53,17/05/2022,Pune,Maharashtra,Monsoon,28.7,37,23.1,0.83,1011.4,Cloudy
54,20/10/2023,Jaipur,Rajasthan,Autumn,19.7,76,29.6,1.82,1006.9,Fog
55,08/06/2024,Kolkata,West Bengal,Autumn,24.5,88,16.8,0.41,1007.8,Fog
56,17/05/2023,Delhi,Delhi,Summer,31.3,51,1.9,0.17,1004.6,Haze
57,16/04/2024,Mumbai,Maharashtra,Monsoon,30.1,47,16.7,0.66,1007.7,Haze
58,23/12/2022,Bangalore,Karnataka,Summer,30.4,65,5.1,1.39,1013.3,Rain
59,01/09/2023,Bangalore,Karnataka,Monsoon,25,50,2.8,1.74,1017.8,Haze
60,05/01/2022,Kolkata,West Bengal,Autumn,26.9,73,1.7,1.29,1011.8,Cloudy
61,23/12/2023,Kolkata,West Bengal,Summer,39,62,20.5,3.49,1013.2,Fog
